Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
uci,uci_k_28_lr_0.0005_bs_64.pkl,train,0.01554920157615803,0.9937509082982124,0.9942027444269727,0.9937525289289136,61
uci,uci_k_28_lr_0.0005_bs_64.pkl,val,0.1877234595445182,0.9616182572614108,0.9627141283156032,0.9615049257211126,61
uci,uci_k_28_lr_0.0005_bs_64.pkl,test,0.10302883288899406,0.9723360655737705,0.9730024453235826,0.9722969579737218,61
realworld,thigh_uci_k_28_lr_0.0005_bs_64.pkl,train,0.2371367977589645,0.9339539007092199,0.9331014191124464,0.9340436380082149,1
realworld,thigh_uci_k_28_lr_0.0005_bs_64.pkl,val,0.7821769635535738,0.7610230660599404,0.7664811896077434,0.7634029510988435,1
realworld,thigh_uci_k_28_lr_0.0005_bs_64.pkl,test,0.7989016105470266,0.718994928538497,0.7203626094664334,0.7224729632001201,1
uci,kuhar_k_28_lr_0.0005_bs_64.pkl,train,0.023145334493564304,0.9911350094463014,0.9916936527978862,0.991133644602614,136
uci,kuhar_k_28_lr_0.0005_bs_64.pkl,val,0.172821112842728,0.9616182572614108,0.9628828141965963,0.961488710030783,136
uci,kuhar_k_28_lr_0.0005_bs_64.pkl,test,0.15740837474338343,0.9605532786885246,0.9612058414631088,0.9604623094296394,136
wisdm,kuhar_k_28_lr_0.0005_bs_64.pkl,train,0.2913611411718933,0.8786044588142411,0.8783174059694758,0.8783317940899574,9
wisdm,kuhar_k_28_lr_0.0005_bs_64.pkl,val,0.4257061413946029,0.8499825965889314,0.8480370257414952,0.8480512600815795,9
wisdm,kuhar_k_28_lr_0.0005_bs_64.pkl,test,0.5222485260198354,0.8025034770514604,0.8000744970768577,0.8001002089857322,9
kuhar,realworld_waist_k_28_lr_0.0005_bs_64.pkl,train,0.00469514154662317,0.9982892220992251,0.9990994354317698,0.9982892303943766,140
kuhar,realworld_waist_k_28_lr_0.0005_bs_64.pkl,val,2.480702151476055,0.6162713367324318,0.6550159109628442,0.6346528061145558,140
kuhar,realworld_waist_k_28_lr_0.0005_bs_64.pkl,test,0.4712650995355096,0.9424736337488016,0.941390946977063,0.9424552984405059,140
realworld,waist_kuhar_k_28_lr_0.0005_bs_64.pkl,train,0.22174471854163502,0.9273706113551541,0.9281641823717505,0.9278209941306307,14
realworld,waist_kuhar_k_28_lr_0.0005_bs_64.pkl,val,0.5462408514258362,0.8399560232448563,0.8440175089694767,0.8433178917952253,14
realworld,waist_kuhar_k_28_lr_0.0005_bs_64.pkl,test,0.8289883472546478,0.7915337423312884,0.7727833734994106,0.7870083781514903,14
