Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
realworld,waist_wisdm_k_28_lr_0.0005_bs_64.pkl_result,train,0.1443940307315662,0.9463949532648545,0.9476566715734359,0.9468288183203881,68
realworld,waist_wisdm_k_28_lr_0.0005_bs_64.pkl_result,val,1.1312805766443645,0.7022145437411654,0.699403710839431,0.7032485570209566,68
realworld,waist_wisdm_k_28_lr_0.0005_bs_64.pkl_result,test,1.045876987799511,0.7714110429447852,0.7532714946545296,0.7643179759971622,68
realworld,thigh_uci_k_28_lr_0.0005_bs_64.pkl_result,train,0.0553626697845818,0.9817580469176214,0.9813809540429808,0.9817532797469715,54
realworld,thigh_uci_k_28_lr_0.0005_bs_64.pkl_result,val,3.12982335044622,0.6052094774831319,0.6159911353870112,0.61199392485233,54
realworld,thigh_uci_k_28_lr_0.0005_bs_64.pkl_result,test,1.211921211649823,0.7565698478561549,0.7484864314616432,0.7492888261690865,54
motionsense,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,train,0.22622292320262935,0.9106319331920728,0.9225774008031884,0.9106087729499032,117
motionsense,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,val,0.5533086136464149,0.8435483870967742,0.8145106250661797,0.8418454114680207,117
motionsense,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,test,0.4131451157293659,0.877711612079966,0.859280935616371,0.8741969679955388,117
uci,kuhar_k_28_lr_0.0005_bs_64.pkl_result,train,0.48271904807159366,0.7414619968027903,0.7525640664541517,0.740517755345824,148
uci,kuhar_k_28_lr_0.0005_bs_64.pkl_result,val,0.42940086534409105,0.7624481327800829,0.7721674010156274,0.7610837026202434,148
uci,kuhar_k_28_lr_0.0005_bs_64.pkl_result,test,0.48052337081705937,0.7546106557377049,0.7603088514710613,0.7540278920668531,148
realworld,waist_realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,train,0.45238409300703597,0.8124318789840473,0.8182641527758111,0.8170674786893889,144
realworld,waist_realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,val,0.8728130574182753,0.716506989162871,0.7220745046068839,0.7230830524676969,144
realworld,waist_realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,test,0.7401271491547741,0.7553374233128834,0.7508094608149798,0.7594608647770786,144
realworld,waist_realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,train,0.09290832561447625,0.9676982527991544,0.9680529274683009,0.9678336416812011,33
realworld,waist_realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,val,1.1632655500534537,0.7794879849222554,0.7818841635214987,0.7814627938365216,33
realworld,waist_realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,test,0.8037658140410675,0.780122699386503,0.7654612527982843,0.7774607499595247,33
wisdm,kuhar_k_28_lr_0.0005_bs_64.pkl_result,train,0.5305113507785351,0.7418699951125982,0.7386482502202318,0.738670636089023,143
wisdm,kuhar_k_28_lr_0.0005_bs_64.pkl_result,val,0.558955750843394,0.7375565610859729,0.7368745355431938,0.7369473404299551,143
wisdm,kuhar_k_28_lr_0.0005_bs_64.pkl_result,test,0.6740754674321738,0.670881274497408,0.6594640960965168,0.6595370248806357,143
