Epoch,Phase,Loss,Accuracy,Mean F1-score,Weighted F1-score
0,train,3.6383129626486523,0.100763875287121,0,0
0,val,3.8676498888641277,0.05985023041474654,0,0
0,test,3.626047480922717,0.07412499240444796,0,0
1,train,3.1236534342717666,0.2156167091041825,0,0
1,val,3.711979563261873,0.09312596006144395,0,0
1,test,3.4039421678350004,0.14288752506532174,0,0
2,train,2.940282448648916,0.2702653976959099,0,0
2,val,3.653779144889565,0.10234254992319508,0,0
2,test,3.3313888103999467,0.15690131858783496,0,0
3,train,2.80620563334841,0.3100884065454675,0,0
3,val,3.6591712659405125,0.10003840245775729,0,0
3,test,3.3012614276043055,0.1573190739502947,0,0
4,train,2.728805223932353,0.32800119299870034,0,0
4,val,3.6294879940248306,0.10192012288786483,0,0
4,test,3.321041257064021,0.15614176338336264,0,0
