Epoch,Phase,Loss,Accuracy,Mean F1-score,Weighted F1-score
0,train,0.965751374565642,0.711088504577823,0.520111635905344,0.7195774696995416
0,val,0.49725435902963533,0.8309128630705395,0.8384806511647337,0.8289961411735869
0,test,0.5107709677492986,0.8309426229508197,0.8343651978902041,0.8279527240333711
1,train,0.43308827928065075,0.8510390931550647,0.8610934414953085,0.8507596565562211
1,val,0.35834417897141324,0.8412863070539419,0.8509762158829739,0.8408308601813225
1,test,0.35420823439222865,0.8381147540983607,0.8446195059061956,0.8376041664956148
2,train,0.3443603514412291,0.8623746548466793,0.8721951868133401,0.8623250135298047
2,val,0.33967102204615646,0.8412863070539419,0.8508383217982953,0.8404979309570125
2,test,0.32439920599343347,0.84375,0.8500587543420568,0.8428198853778857
3,train,0.30669138331413964,0.8674611248365063,0.8771880533167916,0.8673175249659222
3,val,0.320398897056263,0.8506224066390041,0.8587864704656786,0.8501222913732803
3,test,0.3077768018988312,0.8442622950819673,0.8502797347320087,0.8435129266268757
4,train,0.283340059195887,0.8735648888242988,0.8829833753920052,0.8735050758073738
4,val,0.3103336173716422,0.8589211618257261,0.8669503008682182,0.8585930494125515
4,test,0.29335262052348404,0.8539959016393442,0.8599332943235284,0.8534954468317826
5,train,0.2746146922323909,0.8754541491062345,0.8848835219805518,0.8754824681362395
5,val,0.3005596959491983,0.8558091286307054,0.8641753428335974,0.8555318184209821
5,test,0.28367101462160954,0.8637295081967213,0.8695454498714374,0.8633650812277391
6,train,0.2587776493322813,0.8824298793779974,0.8914623660255314,0.8824514281784399
6,val,0.29911371978981366,0.8641078838174274,0.8707057229628477,0.8632604409609863
6,test,0.2874196894833299,0.8586065573770492,0.8641030954171542,0.8578635585118417
7,train,0.24924038941777735,0.8860630722278738,0.8947404150112378,0.8861061779892244
7,val,0.29642321336318844,0.8620331950207469,0.8684240182181735,0.8607241918329755
7,test,0.2869072703064465,0.8591188524590164,0.8637798694880363,0.8576194855560285
8,train,0.24000069850268294,0.8879523325098096,0.896413811941567,0.8879430541521102
8,val,0.28761745253539184,0.8558091286307054,0.8642326109395257,0.8555575218551955
8,test,0.2754678310918026,0.8647540983606558,0.8706625975613675,0.864551558488565
9,train,0.23507507797235874,0.8878070047958145,0.8965242889295976,0.887820697157469
9,val,0.28715946256372443,0.8724066390041494,0.8783577773471031,0.8712336295214709
9,test,0.2742964014655254,0.8627049180327869,0.8679729053541776,0.862030036469221
10,train,0.22697570301942085,0.8952187182095626,0.9032486821506286,0.8952448223021117
10,val,0.29006861391403865,0.8744813278008299,0.8798296768289285,0.8730781463727407
10,test,0.27666068419081263,0.8683401639344263,0.873141323398771,0.8675200067027069
11,train,0.21860497942620144,0.8991425664874292,0.9069529400929932,0.8991698438704245
11,val,0.2868894475871597,0.8682572614107884,0.875548007470907,0.8678475349612115
11,test,0.27143036830620687,0.8724385245901639,0.8779655044360813,0.8718220088126958
12,train,0.2135097779601037,0.9014678099113501,0.909024183643305,0.9014753365726106
12,val,0.2818890424190221,0.8651452282157677,0.8729968711706759,0.8648981123438979
12,test,0.2719727163432074,0.8693647540983607,0.875148470572104,0.8691234254236363
13,train,0.21112243712268897,0.8997238773434094,0.9074542523583811,0.8997137405501001
13,val,0.2857661720875388,0.8672199170124482,0.8751080088378981,0.8664804743485184
13,test,0.2728021369605768,0.8668032786885246,0.8723989179586009,0.8660570389747099
14,train,0.20819226142288103,0.9016131376253451,0.9093510869049034,0.9016207703390734
14,val,0.2792068023651962,0.8682572614107884,0.8758382572453071,0.8680281915083291
14,test,0.2660894989967346,0.8688524590163934,0.874582908810142,0.8686870525559537
15,train,0.20204108557179992,0.9077169016131377,0.9150936872506639,0.9077387197298629
15,val,0.28752060339658586,0.8651452282157677,0.8733404365304172,0.8648562795408016
15,test,0.2768050422433947,0.8698770491803278,0.8755498139324107,0.8696577642678758
16,train,0.20413377438411345,0.9046650196192414,0.912136683687242,0.9046280007822998
16,val,0.27858110693480465,0.8713692946058091,0.8784614521589968,0.8710072174620662
16,test,0.2661374118484435,0.8647540983606558,0.8702683921867889,0.8642749133431015
17,train,0.20076282806407572,0.9053916581892166,0.9127608211240437,0.9054183044986172
17,val,0.28381457046849107,0.8568464730290456,0.8653309233411864,0.85587318263248
17,test,0.2683200855724147,0.8744877049180327,0.8798898023505952,0.8740346793023264
